"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\environments\environment.prod.ts", "TypeScript", -3, 0, 0, 0, -1, -4
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\environments\environment.ts", "TypeScript", -3, 0, 0, -11, -3, -17
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\index.html", "HTML", 0, -44, 0, 0, -1, -45
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\main.ts", "TypeScript", -9, 0, 0, 0, -4, -13
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\polyfills.ts", "TypeScript", -1, 0, 0, -47, -6, -54
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\styles.css", "CSS", 0, 0, 0, -1, -1, -2
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\test.ts", "TypeScript", -18, 0, 0, -4, -5, -27
"Total", "-", -34, -44, 0, -63, -21, -162
