"filename", "language", "TypeScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\services\items-fetch.service.ts", "TypeScript", 23, 0, 0, 0, 6, 29
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\services\user-crential.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\services\user-crential.service.ts", "TypeScript", 16, 0, 0, 2, 5, 23
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\signup\signup.component.css", "CSS", 0, 0, 11, 0, 1, 12
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\signup\signup.component.html", "HTML", 0, 135, 0, 0, 2, 137
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\signup\signup.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\signup\signup.component.ts", "TypeScript", 79, 0, 0, 0, 5, 84
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\trial-meal\trial-meal.component.css", "CSS", 0, 0, 93, 2, 12, 107
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\trial-meal\trial-meal.component.html", "HTML", 0, 123, 0, 1, 4, 128
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\trial-meal\trial-meal.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\trial-meal\trial-meal.component.ts", "TypeScript", 63, 0, 0, 0, 7, 70
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\week-menu\week-menu.component.css", "CSS", 0, 0, 24, 0, 1, 25
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\week-menu\week-menu.component.html", "HTML", 0, 24, 0, 0, 1, 25
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\week-menu\week-menu.component.spec.ts", "TypeScript", 18, 0, 0, 0, 6, 24
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\week-menu\week-menu.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"Total", "-", 744, 1384, 561, 103, 252, 3044
