"filename", "language", "JavaScript", "CSS", "XML", "JavaScript React", "comment", "blank", "total"
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\home-component\navbar.js", "JavaScript", 70, 0, 0, 0, 0, 3, 73
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\home-component\partner-feedback.css", "CSS", 0, 390, 0, 0, 50, 45, 485
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\home-component\partner-feedback.js", "JavaScript", 239, 0, 0, 0, 0, 4, 243
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\home-component\student-feedback.css", "CSS", 0, 523, 0, 0, 39, 65, 627
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\home-component\student-feedback.js", "JavaScript", 331, 0, 0, 0, 11, 12, 354
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\home-component\upskill.js", "JavaScript", 47, 0, 0, 0, 0, 2, 49
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\images\Rectangle.svg", "XML", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\images\follow-us-1.svg", "XML", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\images\follow-us-2.svg", "XML", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\images\follow-us-3.svg", "XML", 0, 0, 9, 0, 0, 1, 10
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\images\profile-pic.svg", "XML", 0, 0, 15, 0, 0, 1, 16
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\index.css", "CSS", 0, 12, 0, 0, 0, 2, 14
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\index.js", "JavaScript", 20, 0, 0, 0, 0, 2, 22
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\logo.svg", "XML", 0, 0, 1, 0, 0, 0, 1
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 2, 14
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\home-page\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 4, 1, 6
"Total", "-", 2560, 2810, 52, 138, 347, 435, 6342
