"filename", "language", "HTML", "comment", "blank", "total"
"c:\Users\Miles\Desktop\JAVA\web-dev\mygithub-projects\projects\sprink-meal-app\src\app\contact-us\contact-us.component.html", "HTML", 0, -57, -1, -58
"Total", "-", 0, -57, -1, -58
